客户编码,R,F,M,labels
S10001,15,38,5909783.0,0
S10011,2,31,3887062.0,1
S10016,91,18,2467894.0,2
S10025,10,41,6612251.0,0
S10057,0,38,4763104.0,0
S10058,20,28,4073402.0,1
S10098,73,17,2826573.0,2
S10106,1,14,1798535.0,1
S10110,34,29,3788079.0,1
S10131,166,12,1814803.0,2
S10135,34,38,5755877.0,0
S10136,40,37,5021633.0,0
S10141,16,49,6698344.0,0
S10143,128,17,2418672.0,2
S10158,19,50,6727513.0,0
S10223,1,29,4040248.0,1
S10226,7,17,2381690.0,1
S10253,15,46,7407082.0,0
S10271,79,31,4597139.0,2
S10274,8,10,1728358.0,1
S10283,8,10,1131064.0,1
S10286,10,67,9404797.0,0
S10302,18,24,3273376.0,1
S10311,5,49,6808502.0,0
S10325,10,28,5384687.0,1
S10355,9,30,3895596.0,1
S10359,11,25,3122156.0,1
S10397,10,37,5714343.0,0
S10409,28,7,601716.0,1
S10419,8,34,4914295.0,0
S10423,7,56,7321815.0,0
S10427,26,17,2906056.0,1
S10430,19,34,5539094.0,0
S10438,42,23,2507304.0,1
S10448,29,27,2912996.0,1
S10451,0,34,5482721.0,0
S10462,5,36,4989687.0,0
S10468,62,27,4188220.0,1
S10469,0,30,4198071.0,1
S10476,8,43,6587907.0,0
S10510,69,15,1890918.0,2
S10512,27,14,1800398.0,1
S10520,8,10,1014345.0,1
S10529,31,29,4360568.0,1
S10550,35,13,2458840.0,1
S10554,4,28,4157694.0,1
S10570,111,7,1188888.0,2
S10575,77,14,1215605.0,2
S10576,17,26,3804956.0,1
S10580,46,45,6366323.0,0
S10594,0,40,5799881.0,0
S10596,30,37,5507571.0,0
S10604,23,25,4371675.0,1
S10606,44,35,4422039.0,1
S10607,45,37,5401327.0,0
S10616,46,33,5900038.0,0
S10648,54,7,587084.0,2
S10671,11,40,5469608.0,0
S10710,2,28,4819253.0,1
S10723,14,22,3679041.0,1
S10757,19,13,1222867.0,1
S10763,30,13,1557063.0,1
S10777,11,14,2022068.0,1
S10781,13,33,4589561.0,1
S10786,11,30,3547363.0,1
S10790,13,18,3153226.0,1
S10819,32,22,2777393.0,1
S10825,27,10,1026580.0,1
S10858,27,18,2446101.0,1
S10859,29,65,9427535.0,0
S10860,16,30,4442865.0,1
S10865,12,71,10832270.0,0
S10867,14,20,2457022.0,1
S10902,14,61,8878261.0,0
S10905,59,10,1494794.0,2
S10909,53,23,3674006.0,1
S10915,27,37,4162003.0,1
S10961,1,42,5814722.0,0
S10966,3,46,5783813.0,0
S10972,35,25,4598722.0,1
S10973,8,34,5373822.0,0
S10976,1,24,3312060.0,1
S10983,48,29,4748581.0,1
S10989,29,43,5703143.0,0
S10990,20,30,3420329.0,1
S10996,1,64,9012355.0,0
S11021,20,33,4154126.0,1
S11024,61,39,5283096.0,0
S11028,59,22,3002482.0,1
S11033,35,43,4331395.0,0
S11051,10,43,6368671.0,0
S11055,9,28,3130520.0,1
S11063,6,30,4049772.0,1
S11074,108,15,2567367.0,2
S11080,79,20,2489887.0,2
S11100,9,16,1490969.0,1
