,订单编码,订单日期,客户编码,所在区域,所在省份,所在地市,商品编号,订购数量,订购单价,金额,年份,月份,商品大类,商品小类
0,D31313,2019-05-16,S22796,东区,浙江,台州市,X091,892,214.0,190888.0,2019,5,彩妆,粉底
1,D21329,2019-05-14,S11460,东区,安徽,宿州市,X005,276,185.0,51060.0,2019,5,护肤品,面膜
2,D22372,2019-08-26,S11101,北区,山西,忻州市,X078,1450,116.0,168200.0,2019,8,彩妆,口红
3,D31078,2019-04-08,S10902,北区,吉林,延边朝鲜族自治州,X025,1834,102.0,187068.0,2019,4,护肤品,眼霜
4,D32470,2019-04-11,S18696,北区,北京,北京市,X010,887,58.0,51446.0,2019,4,护肤品,面膜
5,D28336,2019-02-08,S17681,西区,云南,红河哈尼族彝族自治州,X039,1102,108.0,119016.0,2019,2,护肤品,面霜
6,D29820,2019-03-11,S13780,南区,广东,江门市,X011,1180,226.0,266680.0,2019,3,护肤品,面膜
7,D31449,2019-05-01,S12455,南区,广西,百色市,X051,1236,203.0,250908.0,2019,5,护肤品,爽肤水
8,D22542,2019-09-18,S10865,北区,内蒙古,呼和浩特市,X089,1101,104.0,114504.0,2019,9,彩妆,粉底
9,D31859,2019-01-17,S17785,西区,云南,曲靖市,X001,235,121.0,28435.0,2019,1,护肤品,面膜
10,D32315,2019-02-21,S20802,西区,新疆,乌鲁木齐市,X049,2042,226.0,461492.0,2019,2,护肤品,爽肤水
11,D28486,2019-09-15,S12592,东区,浙江,杭州市,X016,2052,99.0,203148.0,2019,9,护肤品,面膜
12,D21856,2019-07-12,S17476,东区,湖北,武汉市,X019,779,210.0,163590.0,2019,7,护肤品,眼霜
13,D28140,2019-04-03,S14649,南区,广东,广州市,X057,583,245.0,142835.0,2019,4,护肤品,爽肤水
14,D28343,2019-07-03,S19238,东区,浙江,杭州市,X022,753,158.0,118974.0,2019,7,护肤品,眼霜
15,D22880,2019-03-21,S16940,东区,湖北,武汉市,X046,1159,241.0,279319.0,2019,3,护肤品,洁面乳
16,D26674,2019-05-01,S15128,东区,江苏,南通市,X091,1133,214.0,242462.0,2019,5,彩妆,粉底
17,D23894,2019-06-14,S15638,西区,甘肃,陇南市,X038,1423,102.0,145146.0,2019,6,护肤品,面霜
18,D31352,2019-04-15,S22269,西区,四川,泸州市,X047,1100,192.0,211200.0,2019,4,护肤品,爽肤水
19,D21920,2019-03-02,S16237,西区,云南,大理白族自治州,X069,1530,251.0,384030.0,2019,3,护肤品,防晒霜
20,D28666,2019-08-26,S10550,东区,江苏,常州市,X017,1020,213.0,217260.0,2019,8,护肤品,眼霜
21,D24043,2019-01-04,S12026,北区,河南,郑州市,X079,876,128.0,112128.0,2019,1,彩妆,口红
22,D25615,2019-04-17,S17375,西区,云南,昆明市,X069,964,251.0,241964.0,2019,4,护肤品,防晒霜
23,D27760,2019-07-20,S10902,北区,吉林,延边朝鲜族自治州,X067,808,212.0,171296.0,2019,7,护肤品,隔离霜
24,D27745,2019-06-11,S14880,西区,新疆,巴音郭楞州,X065,1445,140.0,202300.0,2019,6,护肤品,隔离霜
25,D31850,2019-09-10,S15439,南区,福建,三明市,X061,453,203.0,91959.0,2019,9,护肤品,隔离霜
26,D24042,2019-02-18,S20547,北区,山西,运城市,X054,662,83.0,54946.0,2019,2,护肤品,爽肤水
27,D33624,2019-03-27,S18858,西区,陕西,渭南市,X070,937,242.0,226754.0,2019,3,护肤品,防晒霜
28,D28738,2019-05-28,S15863,北区,辽宁,大连市,X049,1136,226.0,256736.0,2019,5,护肤品,爽肤水
29,D22470,2019-04-13,S23019,东区,浙江,宁波市,X052,1644,102.0,167688.0,2019,4,护肤品,爽肤水
30,D25393,2019-05-09,S20504,南区,广东,中山市,X050,1634,143.0,233662.0,2019,5,护肤品,爽肤水
31,D23629,2019-02-26,S11423,东区,江苏,苏州市,X066,1775,113.0,200575.0,2019,2,护肤品,隔离霜
32,D34014,2019-08-09,S13298,东区,安徽,安庆市,X079,1373,128.0,175744.0,2019,8,彩妆,口红
33,D21374,2019-03-17,S14319,北区,山东,临沂市,X070,1160,242.0,280720.0,2019,3,护肤品,防晒霜
34,D26537,2019-02-07,S16284,南区,江西,南昌市,X050,1501,143.0,214643.0,2019,2,护肤品,爽肤水
35,D28217,2019-04-07,S13115,南区,广东,东莞市,X062,1094,239.0,261466.0,2019,4,护肤品,隔离霜
36,D27643,2019-04-12,S13589,西区,重庆,重庆市,X001,910,121.0,110110.0,2019,4,护肤品,面膜
37,D32392,2019-05-09,S22702,西区,重庆,重庆市,X040,1276,142.0,181192.0,2019,5,护肤品,面霜
38,D28330,2019-09-26,S12118,北区,辽宁,本溪市,X095,972,107.0,104004.0,2019,9,彩妆,眼影
39,D33276,2019-03-22,S22173,北区,河北,廊坊市,X050,615,143.0,87945.0,2019,3,护肤品,爽肤水
40,D30966,2019-09-26,S21278,西区,陕西,西安市,X044,1679,174.0,292146.0,2019,9,护肤品,洁面乳
41,D30039,2019-09-15,S13281,南区,湖南,长沙市,X059,1783,56.0,99848.0,2019,9,护肤品,隔离霜
42,D27063,2019-08-10,S16649,南区,江西,南昌市,X031,1410,86.0,121260.0,2019,8,护肤品,面霜
43,D25809,2019-07-14,S13102,西区,云南,丽江市,X056,258,233.0,60114.0,2019,7,护肤品,爽肤水
44,D21437,2019-02-04,S16915,北区,河北,廊坊市,X031,438,86.0,37668.0,2019,2,护肤品,面霜
45,D21694,2019-03-06,S14260,东区,上海,上海市,X055,942,222.0,209124.0,2019,3,护肤品,爽肤水
46,D26641,2019-06-19,S15155,西区,贵州,黔南州,X040,885,142.0,125670.0,2019,6,护肤品,面霜
47,D28450,2019-07-30,S14892,西区,四川,广安市,X055,99,222.0,21978.0,2019,7,护肤品,爽肤水
48,D30110,2019-02-23,S20792,东区,安徽,蚌埠市,X027,924,164.0,151536.0,2019,2,护肤品,面霜
49,D23734,2019-04-28,S21250,北区,北京,北京市,X023,1195,235.0,280825.0,2019,4,护肤品,眼霜
50,D28368,2019-07-14,S18364,北区,辽宁,沈阳市,X041,998,212.0,211576.0,2019,7,护肤品,洁面乳
51,D24406,2019-04-30,S14953,东区,江苏,南京市,X002,1453,141.0,204873.0,2019,4,护肤品,面膜
52,D24491,2019-04-06,S10141,东区,江苏,苏州市,X051,522,203.0,105966.0,2019,4,护肤品,爽肤水
53,D22243,2019-05-15,S17864,东区,浙江,温州市,X076,1322,115.0,152030.0,2019,5,护肤品,防晒霜
54,D25680,2019-04-17,S10966,南区,湖南,长沙市,X061,482,203.0,97846.0,2019,4,护肤品,隔离霜
55,D21419,2019-02-11,S19139,北区,河南,驻马店市,X085,1267,233.0,295211.0,2019,2,彩妆,口红
56,D28873,2019-07-26,S14689,东区,江苏,无锡市,X056,334,233.0,77822.0,2019,7,护肤品,爽肤水
57,D22272,2019-06-01,S13578,东区,上海,上海市,X042,1223,159.0,194457.0,2019,6,护肤品,洁面乳
58,D23947,2019-05-24,S12869,北区,河北,唐山市,X010,790,58.0,45820.0,2019,5,护肤品,面膜
59,D28875,2019-03-25,S23313,西区,四川,南充市,X024,1442,235.0,338870.0,2019,3,护肤品,眼霜
60,D21932,2019-01-07,S19657,北区,河北,邯郸市,X069,1578,251.0,396078.0,2019,1,护肤品,防晒霜
61,D21637,2019-08-17,S20853,东区,江苏,泰州市,X026,841,101.0,84941.0,2019,8,护肤品,面霜
62,D25941,2019-06-28,S19738,东区,江苏,徐州市,X002,934,141.0,131694.0,2019,6,护肤品,面膜
63,D25675,2019-09-06,S21747,南区,广东,深圳市,X064,246,150.0,36900.0,2019,9,护肤品,隔离霜
64,D22040,2019-07-09,S18131,东区,浙江,绍兴市,X008,573,119.0,68187.0,2019,7,护肤品,面膜
65,D27924,2019-03-30,S14821,东区,江苏,扬州市,X024,677,235.0,159095.0,2019,3,护肤品,眼霜
66,D32352,2019-06-17,S13200,南区,广西,南宁市,X066,2007,113.0,226791.0,2019,6,护肤品,隔离霜
67,D21552,2019-07-22,S19493,南区,广西,南宁市,X051,1261,203.0,255983.0,2019,7,护肤品,爽肤水
68,D31753,2019-04-17,S15105,东区,江苏,泰州市,X020,1830,100.0,183000.0,2019,4,护肤品,眼霜
