名称,公司名字,工作地点,薪酬,工作经验,招聘人员,公司规模,技能要求,标签,描述,名称_链接,公司_链接
数据分析师,今日头条,北京·海淀区·五道口,12-20K,1-3年本科,刘先生招聘专员,移动互联网D轮及以上10000人以上,"
                                                    数据分析
                                                    安全策略
                                                    数据仓库
                                        ",数据分析,年终奖，五险一金，带薪年假，零食下午茶，餐补，试用期同薪，节日福利，交通补助，加班补助，住房补贴，补充医疗保险，定期体检,https://www.zhipin.com/job_detail/062aea91b86631d31nR72N68E1JW.html,https://www.zhipin.com/gongsi/a67b361452e384e71XV82N4~.html
数据分析师,网易,济南·市中区·大观园,6-10K,1-3年本科,王女士HR,移动互联网已上市10000人以上,"
                                                    数据分析
                                                    数据采集
                                                    数据结构
                                                    大数据
                                        ",数据分析,补充医疗保险，五险一金，免费班车，带薪年假，节日福利，年终奖，全勤奖，包吃，定期体检,https://www.zhipin.com/job_detail/dbd23e4422f945e61nV439m0FVVU.html,https://www.zhipin.com/gongsi/38bd5c757efa4ab6331z.html
数据分析师,华为,上海·浦东新区·金桥,16-30K,在校/应届本科,方女士HR Manager,计算机软件不需要融资10000人以上,"
                                                    Python
                                                    Java
                                        ",Python,补充医疗保险，加班补助，带薪年假，定期体检，员工旅游，五险一金，免费班车，股票期权，年终奖，宵夜，零食下午茶，节日福利,https://www.zhipin.com/job_detail/f3cd3d90a097f1ce1nVy0964FVFS.html,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
数据分析师,满帮集团,南京·雨花台区·宁南,15-20K·13薪,3-5年硕士,程先生部门主管,移动互联网D轮及以上1000-9999人,"
                                                    SQL
                                                    Excel
                                                    BI
                                        ",SQL,节日福利，年终奖，股票期权，五险一金，员工旅游，定期体检，零食下午茶,https://www.zhipin.com/job_detail/5088dd67ee7215d41nZ52d67GVpW.html,https://www.zhipin.com/gongsi/879ccc35345e3c0133172N68GA~~.html
数据分析师,微博,北京·朝阳区·左家庄,10-15K,1-3年本科,张女士策划,互联网已上市1000-9999人,"
                                                    Excel
                                        ",Excel,免费班车，餐补，节日福利，五险一金，年终奖，定期体检，补充医疗保险，带薪年假,https://www.zhipin.com/job_detail/56a0d285434f2e751nV93N2-FlBR.html,https://www.zhipin.com/gongsi/f3e62b9ed1bfa70b1nNy09w~.html
数据分析师,腾讯,上海·徐汇区·漕河泾,15-30K·16薪,1-3年硕士,沈先生技术专家,互联网已上市10000人以上,"
                                                    数据分析
                                                    数据仓库
                                                    数据挖掘
                                                    数据开发
                                                    ETL
                                        ",数据分析,年终奖，节日福利，交通补助，定期体检，免费班车，补充医疗保险，带薪年假，通讯补贴，股票期权，餐补，住房补贴，五险一金，员工旅游，零食下午茶,https://www.zhipin.com/job_detail/3681624c4d6f61181nZ42t28GFdS.html,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html
数据分析师,BOSS直聘,北京·朝阳区·太阳宫,10-11K,1-3年硕士,吴先生COC,人力资源服务D轮及以上1000-9999人,"
                                                    SQL
                                                    数据分析
                                        ",SQL,交通补助，年终奖，餐补，加班补助，住房补贴，补充医疗保险，五险一金，股票期权，员工旅游，节日福利，带薪年假，定期体检,https://www.zhipin.com/job_detail/8bc1928b4daffd0a1nR52NW0EVRR.html,https://www.zhipin.com/gongsi/fa2f92669c66eee31Hc~.html
数据分析师,建信金科,厦门·思明区·软件园,13-26K,经验不限本科,张女士员工,银行不需要融资1000-9999人,"
                                                    SQL
                                                    Python
                                                    Excel
                                                    R
                                                    Matlab
                                        ",SQL,工会福利，员工关怀，年终奖，节日福利，定期体检，餐补，零食下午茶，带薪年假，五险一金，补充医疗保险,https://www.zhipin.com/job_detail/181da8c8ab7af3021nVy3d61GVtQ.html,https://www.zhipin.com/gongsi/6e19637143bd80ad1HV_3N26GQ~~.html
数据分析师,万得,扬州,4-6K,经验不限本科,周先生数据分析员,数据服务不需要融资1000-9999人,"
                                                    金融
                                        ",金融,零食下午茶，交通补助，带薪年假，股票期权，餐补，年终奖，节日福利，五险一金，定期体检，补充医疗保险,https://www.zhipin.com/job_detail/6b2fdc044df375d51nRz0tu4FVpR.html,https://www.zhipin.com/gongsi/3be219eff47214b91nB42N26EQ~~.html
数据分析师,数美,北京·朝阳区·望京,10-15K·14薪,在校/应届本科,郝女士hrbp,互联网C轮100-499人,"
                                                    数据分析
                                        ",数据分析,定期体检，股票期权，补充医疗保险，年终奖，节日福利，五险一金，员工旅游，餐补，零食下午茶，交通补助，带薪年假,https://www.zhipin.com/job_detail/7b8f626ae0f3ff461nV-3d69FVZT.html,https://www.zhipin.com/gongsi/71aea1297df172851nF439o~.html
数据分析师,京东集团,北京·通州区·次渠,10-20K,1-3年本科,柴女士招聘者,电子商务已上市10000人以上,"
                                                    数据分析
                                                    数据库
                                                    SQLServer
                                        ",数据分析,带薪年假，交通补助，免费班车，节日福利，零食下午茶，补充医疗保险，定期体检，包吃，股票期权，五险一金，员工旅游，餐补，年终奖,https://www.zhipin.com/job_detail/1d91032e6b01cf2d1nx_3dy7GVc~.html,https://www.zhipin.com/gongsi/33e052361693f8371nF-3d25.html
数据分析师,途游游戏,北京·朝阳区·立水桥,11-20K·13薪,在校/应届本科,张先生招聘者,游戏D轮及以上500-999人,"
                                                    数据分析
                                                    数据挖掘
                                        ",数据分析,股票期权，定期体检，节日福利，餐补，全勤奖，零食下午茶，交通补助，五险一金，年终奖，员工旅游，带薪年假,https://www.zhipin.com/job_detail/c3d63b03883df27c1nV82N25E1FR.html,https://www.zhipin.com/gongsi/97bce10e039a3a401HZ62t0~.html
